#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF
14,"Leavell, Jeff",12,42,38,80.0,3.5-4,0-0,0,1,1,0,0,0,0
22,"Beckwith, Braylon",12,33,29,62.0,4.5-13,0-0,0,5,0,1,0,0,0
4,"Miller, Jake",12,26,36,62.0,5.5-12,0-0,0,2,0,0,2,0,0
2,"Mackey, Anthony",10,36,24,60.0,2.0-3,0-0,0,1,0,0,0,0,0
9,"Laing, Kyler",12,17,20,37.0,7.0-28,3.5-19,0,0,7,0,0,0,0
11,"Marshall, Adonis",12,28,8,36.0,1.0-3,0-0,2,4,0,1,1,0,0
6,"King, Jonas",12,15,15,30.0,8.5-28,1.5-8,0,0,3,0,0,0,0
32,"Allos, Jaiden",10,20,9,29.0,2.0-9,1.0-7,0,3,0,1,0,0,0
8,"Huguely, Keon'te",11,15,14,29.0,2.0-11,1.0-10,0,0,0,0,0,1,0
30,"Binakonsky, Elijah",12,16,10,26.0,0.5-1,0-0,0,1,0,0,0,0,0
19,"Carter, Cedric",11,9,17,26.0,4.5-10,0-0,1,0,2,0,0,0,0
3,"Wright, Travell",9,10,15,25.0,1.0-6,0-0,0,1,0,0,0,0,0
50,"Cobb Jr., Corey",12,9,14,23.0,1.0-8,1.0-8,0,0,0,0,0,0,0
7,"Vital Cloutier, Jean-Christophe",5,13,9,22.0,0-0,0-0,0,1,0,0,0,0,0
17,"Scharriter, Colin",12,7,14,21.0,2.5-6,0-0,0,1,0,0,0,0,0
1,"Fleischood Jr., Timmy",5,9,8,17.0,2.0-6,0-0,0,0,0,0,0,0,0
5,"Everette, Donovan",10,8,5,13.0,2.5-15,1.0-12,0,2,0,0,1,0,0
12,"Hill, Jaiden",10,7,5,12.0,1.0-1,0-0,0,4,0,0,0,0,0
31,"Hawkins Jr., Mark",10,8,3,11.0,0-0,0-0,0,0,0,0,0,0,0
0,"McDuffie Jr., Teddy",7,7,4,11.0,1.0-2,0-0,0,0,0,0,0,0,0
20,"Carter, Patrick",10,5,5,10.0,1.0-2,0-0,1,0,0,0,0,0,0
13,"Jordan, Anez",9,8,2,10.0,0-0,0-0,0,2,0,0,0,0,0
55,"McAndrews, Ramon",10,3,7,10.0,0-0,0-0,0,0,0,0,0,0,0
10,"Thompson, Chris",11,7,2,9.0,0-0,0-0,3,7,0,0,0,0,0
99,"Royal, James",10,3,5,8.0,1.0-1,0-0,0,0,0,0,0,0,0
42,"Harrington Jr., Mark",12,3,4,7.0,0-0,0-0,0,0,0,0,0,0,0
16,"Lemmons, Amir",5,6,1,7.0,0-0,0-0,0,0,0,0,0,0,0
97,"Lo-Ray, Shanard",9,4,1,5.0,0-0,0-0,0,0,0,0,0,0,0
28,"Washington, Broderick",4,2,3,5.0,0-0,0-0,0,0,0,0,0,0,0
36,"Bridges, Camariyon",10,3,1,4.0,0-0,0-0,0,0,0,1,0,0,0
15,"Chaney II, Arron",6,0,3,3.0,0-0,0-0,0,0,0,0,0,0,0
18,"Dlugos, Daniel",2,2,1,3.0,0-0,0-0,0,0,0,0,1,0,0
44,"Lin, Aidan",12,3,0,3.0,0-0,0-0,0,0,0,0,0,0,0
25,"Long III, Anthony",5,2,1,3.0,0-0,0-0,0,0,0,0,0,0,0
34,"Vazquez, Alejandro",8,1,2,3.0,0-0,0-0,0,0,0,0,0,0,0
25,"Askew, Jonathan",11,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0
84,"Ferguson, Shakile",11,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0
42,"Knox, Ethen",5,1,1,2.0,0-0,0-0,0,0,0,0,0,0,0
0,"Melendez, Colin",11,1,1,2.0,0-0,0-0,0,0,0,0,0,0,0
8,"Davison, Rylan",12,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0
