Date,Opponent,Rushing - ATT,Rushing - YDS,Rushing - TD,Rushing - Long,Receiving - ATT,Receiving - YDS,Receiving - TD,Receiving - Long,Passing - YDS,Passing - TD,Passing - Long,Kick Returns - ATT,Kick Returns - YDS,Kick Returns - TD,Kick Returns - Long,Punt Returns - ATT,Punt Returns - YDS,Punt Returns - TD,Punt Returns - Long
08/28/2025,Youngstown St.,40,187,3,31,14,114,0,37,114,0,37,2,69,0,48,1,10,0,10
09/06/2025,New Haven,14,47,1,15,18,183,1,49,183,1,49,6,123,0,31,0,0,0,0
09/13/2025,Sacramento St.,42,349,5,30,8,176,2,57,176,2,57,6,142,0,47,1,-5,0,0
09/20/2025,Montana St.,41,233,2,45,12,121,0,16,121,0,16,1,13,0,13,1,5,0,5
09/27/2025,South Dakota St.,37,126,3,19,24,343,3,52,343,3,52,2,53,0,36,1,6,0,6
10/04/2025,LIU,20,85,0,22,15,167,1,41,167,1,41,3,26,0,22,3,11,0,6
10/11/2025,Wagner,39,121,0,16,12,183,1,35,183,1,35,1,1,0,1,2,4,0,2
10/18/2025,Duquesne,49,356,2,59,6,89,1,31,89,1,31,0,0,0,0,4,24,0,17
10/25/2025,Stonehill,35,114,0,15,13,196,2,35,196,2,35,2,53,0,27,1,6,0,6
11/08/2025,Saint Francis,36,126,0,18,21,193,0,25,193,0,25,4,82,0,24,0,0,0,0
11/15/2025,Robert Morris,37,181,1,28,5,79,0,27,79,0,27,3,40,0,22,2,18,0,10
11/22/2025,Central Conn. St.,36,200,2,39,22,221,3,32,221,3,32,4,70,0,20,2,42,0,49
